date,channel,spend,impressions,clicks,conversions,revenue,ctr,cvr,cpc,roas,cost_per_conversion,seasonality_factor,day_of_week,month,year,week_number,is_weekend,anomaly_type
2023-01-01,Google Search,2907.8,1421,60,3,5465.69,0.04222,0.05,48.46,1.88,969.27,0.8,Sunday,1,2023,52,1,None
2023-01-01,Meta Ads,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Sunday,1,2023,52,1,Zero Traffic
2023-01-01,Programmatic Display,1326.36,30948,174,1,1295.09,0.00562,0.00575,7.62,0.976,1326.36,0.8,Sunday,1,2023,52,1,None
2023-01-01,YouTube,1489.76,6703,77,1,1575.32,0.01149,0.01299,19.35,1.057,1489.76,0.8,Sunday,1,2023,52,1,None
2023-01-01,Affiliate,1223.67,48946,1047,67,73022.7,0.02139,0.06399,1.17,59.675,18.26,0.8,Sunday,1,2023,52,1,None
2023-01-02,Google Search,3165.38,1547,121,6,7907.06,0.07822,0.04959,26.16,2.498,527.56,0.8,Monday,1,2023,1,0,None
2023-01-02,Meta Ads,2555.16,5019,137,2,4691.69,0.0273,0.0146,18.65,1.836,1277.58,0.8,Monday,1,2023,1,0,None
2023-01-02,Programmatic Display,2200.58,51346,234,2,3458.81,0.00456,0.00855,9.4,1.572,1100.29,0.8,Monday,1,2023,1,0,None
2023-01-02,YouTube,1551.0,6979,72,0,0.0,0.01032,0.0,21.54,0.0,0.0,0.8,Monday,1,2023,1,0,None
2023-01-02,Affiliate,1200.6,48023,1351,98,137835.1,0.02813,0.07254,0.89,114.806,12.25,0.8,Monday,1,2023,1,0,None
2023-01-03,Google Search,3867.28,1890,81,4,8451.26,0.04286,0.04938,47.74,2.185,966.82,0.8,Tuesday,1,2023,1,0,None
2023-01-03,Meta Ads,10783.31,21181,692,20,42223.19,0.03267,0.0289,15.58,3.916,539.17,0.8,Tuesday,1,2023,1,0,Budget Spike
2023-01-03,Programmatic Display,1646.36,38415,234,1,908.05,0.00609,0.00427,7.04,0.552,1646.36,0.8,Tuesday,1,2023,1,0,None
2023-01-03,YouTube,1671.33,7520,125,2,4616.52,0.01662,0.016,13.37,2.762,835.66,0.8,Tuesday,1,2023,1,0,None
2023-01-03,Affiliate,1391.37,55654,2050,145,237720.61,0.03683,0.07073,0.68,170.854,9.6,0.8,Tuesday,1,2023,1,0,None
2023-01-04,Google Search,4715.57,2305,94,3,2560.29,0.04078,0.03191,50.17,0.543,1571.86,0.8,Wednesday,1,2023,1,0,None
2023-01-04,Meta Ads,3945.4,7749,164,3,6253.31,0.02116,0.01829,24.06,1.585,1315.13,0.8,Wednesday,1,2023,1,0,None
2023-01-04,Programmatic Display,1770.69,41316,183,1,2380.49,0.00443,0.00546,9.68,1.344,1770.69,0.8,Wednesday,1,2023,1,0,None
2023-01-04,YouTube,2607.1,11731,120,2,3433.76,0.01023,0.01667,21.73,1.317,1303.55,0.8,Wednesday,1,2023,1,0,None
2023-01-04,Affiliate,1798.01,71920,2124,94,111624.04,0.02953,0.04426,0.85,62.082,19.13,0.8,Wednesday,1,2023,1,0,None
2023-01-05,Google Search,15136.38,7400,419,15,15056.57,0.05662,0.0358,36.13,0.995,1009.09,0.8,Thursday,1,2023,1,0,Budget Spike
2023-01-05,Meta Ads,3252.18,6388,147,3,5985.4,0.02301,0.02041,22.12,1.84,1084.06,0.8,Thursday,1,2023,1,0,None
2023-01-05,Programmatic Display,2179.78,50861,225,1,1836.26,0.00442,0.00444,9.69,0.842,2179.78,0.8,Thursday,1,2023,1,0,None
2023-01-05,YouTube,1836.58,8264,93,2,2414.51,0.01125,0.02151,19.75,1.315,918.29,0.8,Thursday,1,2023,1,0,None
2023-01-05,Affiliate,990.42,39616,1591,112,134846.19,0.04016,0.0704,0.62,136.15,8.84,0.8,Thursday,1,2023,1,0,None
2023-01-06,Google Search,5528.25,2702,176,8,13686.54,0.06514,0.04545,31.41,2.476,691.03,0.8,Friday,1,2023,1,0,None
2023-01-06,Meta Ads,2552.14,5013,80,2,3903.72,0.01596,0.025,31.9,1.53,1276.07,0.8,Friday,1,2023,1,0,None
2023-01-06,Programmatic Display,1701.62,39704,164,1,1096.42,0.00413,0.0061,10.38,0.644,1701.62,0.8,Friday,1,2023,1,0,None
2023-01-06,YouTube,2377.03,10696,129,1,2371.98,0.01206,0.00775,18.43,0.998,2377.03,0.8,Friday,1,2023,1,0,None
2023-01-06,Affiliate,1837.9,73515,2925,212,369694.37,0.03979,0.07248,0.63,201.151,8.67,0.8,Friday,1,2023,1,0,None
2023-01-07,Google Search,3756.06,1836,139,6,8258.1,0.07571,0.04317,27.02,2.199,626.01,0.8,Saturday,1,2023,1,1,None
2023-01-07,Meta Ads,2499.72,4910,183,5,10628.94,0.03727,0.02732,13.66,4.252,499.94,0.8,Saturday,1,2023,1,1,None
2023-01-07,Programmatic Display,5496.54,128252,810,4,4293.49,0.00632,0.00494,6.79,0.781,1374.14,0.8,Saturday,1,2023,1,1,Budget Spike
2023-01-07,YouTube,1689.49,7602,120,1,2010.7,0.01579,0.00833,14.08,1.19,1689.49,0.8,Saturday,1,2023,1,1,None
2023-01-07,Affiliate,895.08,35803,1628,107,188975.33,0.04547,0.06572,0.55,211.127,8.37,0.8,Saturday,1,2023,1,1,None
2023-01-08,Google Search,2349.3,1148,58,2,4908.24,0.05052,0.03448,40.51,2.089,1174.65,0.8,Sunday,1,2023,1,1,None
2023-01-08,Meta Ads,2372.78,4660,128,3,4911.84,0.02747,0.02344,18.54,2.07,790.93,0.8,Sunday,1,2023,1,1,None
2023-01-08,Programmatic Display,1394.04,32527,143,0,0.0,0.0044,0.0,9.75,0.0,0.0,0.8,Sunday,1,2023,1,1,None
2023-01-08,YouTube,1553.23,6989,136,3,3901.69,0.01946,0.02206,11.42,2.512,517.74,0.8,Sunday,1,2023,1,1,None
2023-01-08,Affiliate,916.19,36647,1081,50,87328.11,0.0295,0.04625,0.85,95.317,18.32,0.8,Sunday,1,2023,1,1,None
2023-01-09,Google Search,6390.88,3124,201,12,12457.71,0.06434,0.0597,31.8,1.949,532.57,0.8,Monday,1,2023,2,0,None
2023-01-09,Meta Ads,3965.2,7788,261,7,13959.56,0.03351,0.02682,15.19,3.521,566.46,0.8,Monday,1,2023,2,0,None
2023-01-09,Programmatic Display,2273.63,53051,389,5,8346.41,0.00733,0.01285,5.84,3.671,454.73,0.8,Monday,1,2023,2,0,None
2023-01-09,YouTube,1941.96,8738,138,2,4305.7,0.01579,0.01449,14.07,2.217,970.98,0.8,Monday,1,2023,2,0,None
2023-01-09,Affiliate,1760.36,70414,2629,108,171883.8,0.03734,0.04108,0.67,97.641,16.3,0.8,Monday,1,2023,2,0,None
2023-01-10,Google Search,4566.04,2232,142,4,3453.97,0.06362,0.02817,32.16,0.756,1141.51,0.8,Tuesday,1,2023,2,0,None
2023-01-10,Meta Ads,4178.91,8208,281,5,9294.57,0.03423,0.01779,14.87,2.224,835.78,0.8,Tuesday,1,2023,2,0,None
2023-01-10,Programmatic Display,1707.48,39841,225,2,3767.26,0.00565,0.00889,7.59,2.206,853.74,0.8,Tuesday,1,2023,2,0,None
2023-01-10,YouTube,2363.53,10635,186,2,3092.5,0.01749,0.01075,12.71,1.308,1181.77,0.8,Tuesday,1,2023,2,0,None
2023-01-10,Affiliate,913.91,36556,1786,131,259793.46,0.04886,0.07335,0.51,284.265,6.98,0.8,Tuesday,1,2023,2,0,None
2023-01-11,Google Search,4433.3,2167,134,6,11534.01,0.06184,0.04478,33.08,2.602,738.88,0.8,Wednesday,1,2023,2,0,None
2023-01-11,Meta Ads,3023.02,5938,198,5,9199.63,0.03334,0.02525,15.27,3.043,604.6,0.8,Wednesday,1,2023,2,0,None
2023-01-11,Programmatic Display,2188.37,51061,156,0,0.0,0.00306,0.0,14.03,0.0,0.0,0.8,Wednesday,1,2023,2,0,None
2023-01-11,YouTube,1192.1,5364,97,1,1606.1,0.01808,0.01031,12.29,1.347,1192.1,0.8,Wednesday,1,2023,2,0,None
2023-01-11,Affiliate,768.72,30748,1015,56,103428.93,0.03301,0.05517,0.76,134.546,13.73,0.8,Wednesday,1,2023,2,0,None
2023-01-12,Google Search,4964.3,2426,133,6,9931.99,0.05482,0.04511,37.33,2.001,827.38,0.8,Thursday,1,2023,2,0,None
2023-01-12,Meta Ads,4236.92,8322,258,4,7183.27,0.031,0.0155,16.42,1.695,1059.23,0.8,Thursday,1,2023,2,0,None
2023-01-12,Programmatic Display,3176.1,74108,366,4,6316.12,0.00494,0.01093,8.68,1.989,794.02,0.8,Thursday,1,2023,2,0,None
