journey_id,touchpoints,n_touches,converted,revenue,journey_days,first_channel,last_channel
0,"[np.str_('Affiliate'), np.str_('Meta Ads')]",2,False,0.0,1,Affiliate,Meta Ads
1,[np.str_('YouTube')],1,False,0.0,3,YouTube,YouTube
2,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('YouTube')]",3,True,1286.56,1,YouTube,YouTube
3,"[np.str_('Programmatic Display'), np.str_('Affiliate')]",2,True,1987.36,0,Programmatic Display,Affiliate
4,"[np.str_('Programmatic Display'), np.str_('Affiliate')]",2,False,0.0,1,Programmatic Display,Affiliate
5,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,False,0.0,1,Meta Ads,Google Search
6,[np.str_('Affiliate')],1,False,0.0,7,Affiliate,Affiliate
7,"[np.str_('YouTube'), np.str_('Meta Ads')]",2,False,0.0,0,YouTube,Meta Ads
8,"[np.str_('YouTube'), np.str_('YouTube')]",2,True,2080.39,1,YouTube,YouTube
9,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Programmatic Display')]",3,False,0.0,14,Meta Ads,Programmatic Display
10,"[np.str_('Meta Ads'), np.str_('Affiliate'), np.str_('Meta Ads'), np.str_('Google Search')]",4,True,1677.8,1,Meta Ads,Google Search
11,"[np.str_('Google Search'), np.str_('Affiliate')]",2,True,1860.39,0,Google Search,Affiliate
12,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Programmatic Display'), np.str_('Google Search')]",4,True,2710.99,7,YouTube,Google Search
13,"[np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,True,2630.04,3,Google Search,Affiliate
14,"[np.str_('YouTube'), np.str_('Google Search')]",2,True,2203.56,3,YouTube,Google Search
15,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Meta Ads')]",4,False,0.0,7,Programmatic Display,Meta Ads
16,"[np.str_('Programmatic Display'), np.str_('Affiliate')]",2,True,1062.09,0,Programmatic Display,Affiliate
17,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('YouTube')]",3,True,1737.28,7,Programmatic Display,YouTube
18,"[np.str_('YouTube'), np.str_('Google Search')]",2,True,2570.92,7,YouTube,Google Search
19,"[np.str_('Google Search'), np.str_('Programmatic Display'), np.str_('Google Search')]",3,False,0.0,3,Google Search,Google Search
20,"[np.str_('Google Search'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search')]",4,True,2716.38,14,Google Search,Google Search
21,[np.str_('Programmatic Display')],1,False,0.0,1,Programmatic Display,Programmatic Display
22,[np.str_('Programmatic Display')],1,False,0.0,1,Programmatic Display,Programmatic Display
23,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,False,0.0,30,Meta Ads,Affiliate
24,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,True,931.72,3,Programmatic Display,Google Search
25,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,1,YouTube,Google Search
26,[np.str_('Programmatic Display')],1,False,0.0,1,Programmatic Display,Programmatic Display
27,"[np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Meta Ads')]",3,False,0.0,3,Google Search,Meta Ads
28,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('YouTube')]",3,True,1295.81,0,Meta Ads,YouTube
29,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,True,2200.28,1,Meta Ads,Affiliate
